AREA,SAMTYPE,SEX,S1,S2,S3,S4,S5,S6,Q1,Q2,Q3,Q4,Q5A,Q5B,Q5C,Q5D,Q6,Q7,Q9,Q8,Q10A,Q10B,Q10C,Q10D,Q10E,Q10F,Q10G,Q11A_Africa,Q11B_Europe,Q11C_MiddleEast,Q11D_Mexico,Q11E_CentralSouthAm,Q11F_Cuba,Q11G_Caribbean,Q11H_India,Q11I_China,Q11J_Japan,Q11K_Philippines,Q11L_OtherAsian,Q12,Q12A,Q13,Q13A,Q14A_Africa,Q14B_Europe,Q14C_MiddleEast,Q14D_Mexico,Q14E_CentralSouthAm,Q14F_Cuba,Q14G_Caribbean,Q14H_India,Q14I_China,Q14J_Japan,Q14K_Philippines,Q14L_OtherAsian,Q15a,Q15b,Q15c,Q16a,Q16b,Q16c,Q16d,Q16e,Q16f,Q16g,Q17,Q19,Q21a,Q21b,Q21c,Q21d,Q21e,Q21f,Q21g,Q21h,Q21i,Q22,Q24,Q25,Q26,Q27a,Q27b,Q27c,Q28,Q29,Q30,Q31a,Q31b,Q31c,Q31d,Q31e,Q31f,Q32a,Q32b,Q32c,Q32d,Q32e,Q32f,Q32g,Q32h,D2,D3,D5,D6,D7,D8,D9
205,1,2,1,,,1,,,3,1,9,9,4,4,4,4,3,,98,,2,3,3,3,3,3,3,3,4,97,98,6,4,4,3,2,2,1,4,2,,2,,97,97,97,97,97,97,97,97,97,97,97,8,8,3,3,1,1,1,1,1,1,3,2,9,1,2,1,2,2,1,1,1,1,,2,9,,,,,1,3,3,2,2,2,2,2,2,4,2,3,4,4,3,3,1,3,8,8,98,8,9,9
205,2,2,2,2,,1,,,1,1,1,1,2,4,4,4,1,2,8,3,3,3,3,3,1,3,3,5,5,1,4,5,5,6,6,3,1,5,1,2,,1,9,6,5,1,5,5,5,8,5,1,1,1,1,3,3,3,3,3,1,3,3,3,3,2,2,2,1,1,1,1,1,,1,1,,1,,,,,,3,,3,1,1,1,1,1,1,4,3,4,3,3,4,3,4,2,2,6,62,4,5,2
205,1,1,1,,,2,,,9,2,2,1,2,9,3,4,1,3,4,1,1,3,8,3,3,3,3,7,2,3,3,5,5,2,4,5,5,6,2,2,,1,7,5,5,2,4,5,5,3,5,7,6,4,3,2,2,3,3,1,1,3,1,1,3,2,2,2,2,1,1,1,2,9,2,1,,1,2,,,,,3,,2,2,2,1,2,2,2,4,4,4,4,3,3,4,4,2,2,3,55,3,5,2
205,1,2,1,,,1,,,2,2,1,3,2,9,4,4,1,1,4,2,3,2,2,3,2,8,3,4,6,1,5,5,3,1,3,8,8,7,7,1,9,1,4,97,7,3,3,3,2,2,6,7,6,5,5,2,2,1,1,1,2,1,1,1,1,1,2,1,2,2,1,2,2,1,2,2,,1,1,12,3,3,3,4,,1,1,1,1,1,1,1,2,2,1,1,1,2,4,4,1,2,5,35,8,5,1
206,1,2,2,,,2,,,3,1,1,1,1,9,1,1,1,1,2,2,1,3,2,1,1,1,3,9,10,8,9,97,8,9,9,9,9,9,9,1,10,2,,9,4,3,2,2,4,8,9,97,6,4,7,4,4,4,1,2,3,3,2,1,2,1,1,9,9,9,9,9,9,,9,9,,1,,,,,,1,1,2,1,1,1,1,1,1,4,4,3,3,3,4,3,4,2,2,6,26,3,5,1
206,1,1,1,,,3,1,,1,1,1,1,4,1,5,5,1,3,96,,,,,,,,,6,6,6,6,6,6,6,6,6,6,6,6,2,,8,,98,98,98,98,98,98,98,98,98,98,98,98,4,4,4,3,3,3,3,3,1,3,1,2,1,1,1,1,1,1,1,1,1,,1,1,16,1,1,1,1,1,4,1,1,1,1,1,1,4,4,4,4,4,4,4,4,3,,6,53,3,5,3
206,1,1,1,,,3,1,,1,3,1,1,4,4,4,4,1,2,11,2,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,6,6,2,,2,,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,,1,1,3,3,3,1,1,4,4,1,1,1,1,1,1,4,4,4,4,4,4,4,4,3,,5,53,3,5,3
206,1,2,1,,,1,,,1,2,1,1,2,4,4,4,3,,16,2,3,2,3,3,3,3,3,5,8,5,3,5,5,4,7,5,5,5,5,1,9,1,4,3,6,2,2,97,3,3,4,4,8,97,4,4,4,4,1,2,1,2,2,1,2,1,1,9,9,9,9,9,9,9,9,9,,1,2,,,,,1,1,2,1,1,1,1,1,1,2,1,1,2,1,2,2,4,1,2,5,34,5,5,1
206,1,1,2,,,2,,,9,1,1,3,9,9,9,9,1,1,11,2,3,8,2,8,8,1,8,2,8,5,3,5,2,2,4,5,4,4,6,1,2,1,4,2,8,3,1,4,2,2,4,3,5,4,2,2,4,3,1,1,2,2,3,1,1,1,1,1,1,1,1,1,2,,1,1,,1,,,,,,3,,3,2,2,2,2,2,2,2,2,2,2,2,4,4,4,1,2,7,75,9,5,1
206,1,1,2,,,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,9,9,9,9,,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,8,99,,2,4
206,2,1,2,2,,2,,,2,3,3,3,2,9,9,2,1,1,16,1,2,8,2,2,2,2,3,10,10,10,10,10,10,10,10,10,10,10,10,8,,2,,5,7,97,2,5,1,8,2,5,5,2,1,1,1,4,1,1,1,1,2,1,1,2,1,2,1,1,1,1,2,,1,1,,1,,,,,,2,3,2,1,1,1,1,1,1,3,3,1,3,1,4,1,4,3,2,3,25,4,5,2
206,3,1,2,,3,1,,,1,3,1,3,4,1,4,4,1,2,11,2,3,2,3,3,1,1,1,5,6,5,6,6,6,4,6,6,6,6,6,2,,2,,3,6,3,3,5,4,6,5,7,7,5,4,1,1,1,2,1,1,3,1,1,2,1,1,2,1,1,1,1,1,,1,1,,1,,,,,,1,1,2,1,1,1,1,1,1,4,4,4,1,1,4,2,4,3,2,6,32,5,3,1
